pk,record,datetime,user,project_id,VarLabel,VarName,VarDescription,FieldType,VarBlank,VarNull,Identifier,VarMaxDigits,VarMaxDecimalPlaces,VarMaxLength
347,1,2012-08-23 20:03,natalie,3,MRA_<50Occl_RightPCA,MRA_LT50Occl_RightPCA,MRA_<50%Stenosis_Right PCA,RadioButton,1,1,0,NULL,NULL,NULL
348,1,2012-08-23 20:04,natalie,3,MRA_<50Occl_RightBasilar,MRA_LT50Occl_RightBasilar,MRA_<50%Stenosis_RightBasilar,RadioButton,1,1,0,NULL,NULL,NULL
349,1,2012-08-23 20:04,natalie,3,MRA_<50Occl_RightPICA,MRA_LT50Occl_RightPICA,MRA_<50%Stenosis_Right PICA,RadioButton,1,1,0,NULL,NULL,NULL
350,1,2012-08-23 20:05,natalie,3,MRA_<50Occl_RightVert,MRA_LT50Occl_RightVert,MRA_<50%Stenosis_Right Vert,RadioButton,1,1,0,NULL,NULL,NULL
351,1,2012-08-23 20:05,natalie,3,MRA_<50Occl_LeftICA,MRA_LT50Occl_LeftICA,MRA_<50%Stenosis_Left ICA,RadioButton,1,0,0,NULL,NULL,NULL
352,1,2012-08-23 20:06,natalie,3,MRA_<50Occl_LeftMCAm1,MRA_LT50Occl_LeftMCAm1,MRA_<50%stenosis_Left MCA m1,RadioButton,1,1,0,NULL,NULL,NULL
353,1,2012-08-23 20:07,natalie,3,MRA_<50Occl_leftMCAm2,MRA_LT50Occl_leftMCAm2,MRA_<50%Stenosis_LeftMCAm2,RadioButton,1,1,0,NULL,NULL,NULL
354,1,2012-08-23 20:07,natalie,3,MRA_<50Occl_leftACA,MRA_LT50Occl_LeftACA,MRA_<50%Stenosis_LeftACA,RadioButton,1,1,0,NULL,NULL,NULL
355,1,2012-08-23 20:08,natalie,3,MRA_<50Occl_LeftPCA,MRA_LT50occl_leftPCA,MRA_<50%Stenosis_Left PCA,RadioButton,1,1,0,NULL,NULL,NULL
356,1,2012-08-23 20:08,natalie,3,MRA_<50Occl_leftBasilar,MRA_LT50Occl_LeftBasilar,MRA_<50%Stenosis_LeftBasilar,RadioButton,1,1,0,NULL,NULL,NULL
357,1,2012-08-23 20:09,natalie,3,MRA_<50Occl_LeftPICA,MRA_LT50Occl_LeftPIca,MRA_<50%stenosis_LeftPICA,RadioButton,1,1,0,NULL,NULL,NULL
358,1,2012-08-23 20:09,natalie,3,MRA_<50Occl_LeftVert,MRA_LT50Occl_LeftVert,MRA_<50%Stenosis_LeftVert,RadioButton,1,1,0,NULL,NULL,NULL
359,1,2012-08-23 20:10,natalie,3,MRA_HyperintenseFLAIR_No,MRA_HyperintenseFLAIR_No,MRA_Hyperintense vessel on FLAIR- no,RadioButton,1,1,0,NULL,NULL,NULL
360,1,2012-08-23 20:11,natalie,3,MRA_HyperintenseFLAIR_yes,MRA_HyperintenseFLAIR_yes,MRA_Hyperintense vessel on FLAIR_yes,RadioButton,1,1,0,NULL,NULL,NULL
361,1,2012-08-23 20:11,natalie,3,MRA_HyperintenseFLAIR_unable,MRA_HyperintenseFLAIR_unable,MRA_Hyperintense vessel on FLAIR_unable poor quality,RadioButton,1,1,0,NULL,NULL,NULL
362,1,2012-08-23 20:12,natalie,3,MRA_HyperFLAIRYes_RightICA,MRA_HyperFLAIRyes_RightICA,"MRA_Hyperintense vessel on FLAIR, yes- RIGHT ICA",RadioButton,1,1,0,NULL,NULL,NULL
363,1,2012-08-23 20:13,natalie,3,MRA_HyperFLAIRyes_RightMCAm1,MRA_HyperFLAIRyes_RightMCAm1,"MRA_Hyperintense vessel on FLAIR, yes- RIGHT MCA m1",RadioButton,1,1,0,NULL,NULL,NULL
364,1,2012-08-23 20:14,natalie,3,MRA_HyperFLAIRyes_RightMCAm2,MRA_HyperFlAIRyes_RightMCAm2,"MRA_Hyperintense vessel on FLAIR, yes-RIGHT MCAm2",RadioButton,1,1,0,NULL,NULL,NULL
365,1,2012-08-23 20:14,natalie,3,MRA_HyperFLAIRyes_RightACA,MRA_HyperFLAIRyes_RightACA,"MRA_Hyperintense vessel on FlAIR, yes- RIGHT ACA",RadioButton,1,1,0,NULL,NULL,NULL
366,1,2012-08-23 20:15,natalie,3,MRA_HyperFLAIRyes_RightPCA,MRA_HyperFLAIRyes_RightPCA,"MRA_Hyperintense vessel on FLAIR, yes-RIGHT PCA",RadioButton,1,1,0,NULL,NULL,NULL
367,1,2012-08-23 20:16,natalie,3,MRA_HyperFLAIRyes_RightBasilar,MRA_HyperFLAIRyes_RightBasilar,"MRA_Hyperintense vessel on FLAIR, yes_Right Basilar",RadioButton,1,1,0,NULL,NULL,NULL
368,1,2012-08-23 20:16,natalie,3,MRA_HyperFLAIRyes_RightPICA,MRA_HyperFLAIRyes_RightPICA,"MRA_Hyperintense vessel on FLAIR, yes_Right PICA",RadioButton,1,1,0,NULL,NULL,NULL
369,1,2012-08-23 20:16,natalie,3,MRA_HyperFLAIRyes_RightVert,MRA_HyperFLAIRyes_RightVert,"MRA_Hyperintense vessel on FLAIR, yes_Right Vert",RadioButton,1,1,0,NULL,NULL,NULL
370,1,2012-08-23 20:17,natalie,3,MRA_HyperFLAIRyes_LeftICA,MRA_HyperFLAIRyes_LeftICA,"MRA_Hyperintense vessel on FLAIR, yes- Left ICA",RadioButton,1,1,0,NULL,NULL,NULL
371,1,2012-08-23 20:17,natalie,3,MRA_HyperFLAIRyes_LeftMCAm1,MRA_HyperFLAIRyes_LeftMCAm1,"MRA_Hyperintense vessel on FLAIR, yes_Left MCA m1",RadioButton,1,1,0,NULL,NULL,NULL
372,1,2012-08-23 20:18,natalie,3,MRA_HyperFLAIRyes_leftMCAm2,MRA_HyperFLAIRyes_LeftMCAm2,"MRA_Hyperintense vessel on FLAIR, yes_Left MCAm2",RadioButton,1,1,0,NULL,NULL,NULL
373,1,2012-08-23 20:18,natalie,3,MRA_HyperFLAIRyes_LeftACA,MRA_HyperFLAIRyes_LeftACA,"MRA_Hyperintense vessel on FLAIR, yes_Left ACA",RadioButton,1,1,0,NULL,NULL,NULL
374,1,2012-08-23 20:19,natalie,3,MRA_HyperFLAIRyes_LeftPCA,MRA_HyperFLAIRyes_LeftPCA,"MRA_Hyperintense vessel on FLAIR, yes_Left PCA",RadioButton,1,1,0,NULL,NULL,NULL
375,1,2012-08-23 20:19,natalie,3,MRA_HyperFLAIRyes_LeftBasilar,MRA_HyperFLAIRyes_LeftBasilar,"MRA_Hyperintense vessel on FLAIR, yes_LeftBasilar",RadioButton,1,1,0,NULL,NULL,NULL
376,1,2012-08-23 20:20,natalie,3,MRA_HyperFLAIRyes_LeftPICA,MRA_HyperFLAIRyes_leftPICA,"MRA_Hyperintense vessel on FLAIR, yes_Left PICA",RadioButton,1,1,0,NULL,NULL,NULL
377,1,2012-08-23 20:20,natalie,3,MRA_HyperFLAIRyes_LeftVert,MRA_HyperFLAIRyes_LeftVert,"MRA_Hyperintense vessel on FLAIR, yes_LeftVert",RadioButton,1,1,0,NULL,NULL,NULL
378,1,2012-08-23 20:41,natalie,3,Neck_unable,Neck_unable,Neck Imaging_Unable or poor quality,RadioButton,1,1,0,NULL,NULL,NULL
379,1,2012-08-23 20:42,natalie,3,Neck_Ultrasound,Neck_Ultrasound,Neck Imaging_ Ultrasound,RadioButton,1,1,0,NULL,NULL,NULL
380,1,2012-08-23 20:42,natalie,3,Neck_CTA,Neck_CTA,Neck Imaging_CTA,RadioButton,1,1,0,NULL,NULL,NULL
381,1,2012-08-23 20:42,natalie,3,Neck_MRA,Neck_MRA,Neck Imaging_ MRA,RadioButton,1,1,0,NULL,NULL,NULL
382,1,2012-08-23 20:43,natalie,3,Neck_LeftCCA_ICA_Normal,Neck_LeftCCA_ICA_Normal,Neck Imaging_ Left side_CCA/ICA Vessel_Normal,RadioButton,1,1,0,NULL,NULL,NULL
383,1,2012-08-23 20:44,natalie,3,Neck_LeftCCA_ICA_<50stenosis,Neck_leftCCA_ICA_LT50Stenosis,Neck Imaging_Left Side_CCA/ICA_<50%Stenosis,BooleanField,0,0,0,NULL,NULL,NULL
384,1,2012-08-23 20:46,natalie,3,Neck_LeftCCA_ICA_>50Stenosis,Neck_LeftCCA_ICA_GT50Stenosis,Neck Imaging_Left Side_CCA/ICA_>50%Stenosis,RadioButton,1,1,0,NULL,NULL,NULL
385,1,2012-08-23 20:47,natalie,3,Neck_LeftCCA_ICA_Stenosis,Neck_LeftCCA_ICA_Stenosis,Neck Imaging_LeftSide_CCA/ICA_Exact percent stenosis,RadioButton,1,1,0,NULL,NULL,NULL
386,1,2012-08-23 20:48,natalie,3,Neck_LeftCCA_ICA_Occlusion,Neck_LeftCCA_ICA_Occlusion,Neck Imaging_Left Side_CCA/ICA_Occlusion,RadioButton,1,1,0,NULL,NULL,NULL
387,1,2012-08-23 20:49,natalie,3,Neck_LeftCCA_ICA_IntraExtraCran,Neck_leftCCA_ICA_IntraExtraCran,Neck_Left_CCA/ICA_Intra/Extra Cranial Site,RadioButton,1,1,0,NULL,NULL,NULL
388,1,2012-08-23 20:49,natalie,3,Aortic_Unable,Aortic_Unable,Aortic Arch_Unable/Poor quality,RadioButton,1,1,0,NULL,NULL,NULL
389,1,2012-08-23 20:49,natalie,3,Aortic_Ultrasound,Aortic_Ultrasound,Aortic Arch_ Ultrasound,RadioButton,1,1,0,NULL,NULL,NULL
390,1,2012-08-23 20:50,natalie,3,Aortic_CTA,Aortic_CTA,Aortic Arch_CTA,RadioButton,1,1,0,NULL,NULL,NULL
391,1,2012-08-23 20:50,natalie,3,Aortic_MRA,Aortic_MRA,Aortic Arch_MRA,RadioButton,1,1,0,NULL,NULL,NULL
392,1,2012-08-23 20:50,natalie,3,Aortic_Normal,Aortic_Normal,Aortic Arch_Normal,RadioButton,1,1,0,NULL,NULL,NULL
393,1,2012-08-23 20:51,natalie,3,Aortic_Smooth,Aortic_Smooth,Aortic Arch_Smooth Linear Plaque,RadioButton,1,1,0,NULL,NULL,NULL
394,1,2012-08-23 20:51,natalie,3,Aortic_Protruding,Aortic_Protruding,Aortic Arch_Protruding Plaque,RadioButton,1,1,0,NULL,NULL,NULL
395,1,2012-08-23 20:52,natalie,3,Aortic_Not seen,Aortic_NotSeen,Aortic Arch_Not visualized/poor quality,RadioButton,1,1,0,NULL,NULL,NULL
396,1,2012-08-23 20:52,natalie,3,Aortic_GVO_Normal,Aortic_GVO_Normal,Aortic Arch_Great Vessel Origins_Normal,RadioButton,1,1,0,NULL,NULL,NULL
397,1,2012-08-23 20:53,natalie,3,Aortic_GVO_Abnormal,Aortic_GVO_Abnormal,Aortic Arch_Great Vessel Origins_Abnormal,RadioButton,1,1,0,NULL,NULL,NULL
398,1,2012-08-23 20:53,natalie,3,Aortic_specify,Aortic_specify,Aortic Arch_ Which vessel,CharField,1,1,0,NULL,NULL,25
399,1,2012-08-23 21:05,natalie,3,FLAIR_Infarcts_Yes,FLAIR_Infarcts_yes,FLAIR/T2_Remote infarcts? _Yes,RadioButton,1,1,0,NULL,NULL,NULL
400,1,2012-08-23 21:06,natalie,3,FLAIR_Infarcts_No,FLAIR_Infarcts_no,FLAIR/T2_Remote infarcts?_No,RadioButton,1,1,0,NULL,NULL,NULL
401,1,2012-08-23 21:06,natalie,3,FLAIR_Infarcts_Unable,FLAIR_Infarcts_Unable,FLAIR/T2_Remote infarcts?_Unable to tell/poor quality,RadioButton,1,1,0,NULL,NULL,NULL
402,1,2012-08-23 21:07,natalie,3,FLAIR_Infarcts_RightACA,FLAIR_Infarcts_RightACA,FLAIR/T2_Remote infarcts_RightACA,RadioButton,1,1,0,NULL,NULL,NULL
403,1,2012-08-23 21:08,natalie,3,FLAIR_Infarcts_RightMCA,FLAIR_Infarcts_RightMCA,FLAIR/T2_Remote infarcts_RightMCA,RadioButton,1,1,0,NULL,NULL,NULL
404,1,2012-08-23 21:08,natalie,3,FLAIR_Infarcts_RightPCA,FLAIR_Infarcts_RightPCA,FLAIR/T2_Remote infarcts_RightPCA,RadioButton,1,1,0,NULL,NULL,NULL
405,1,2012-08-23 21:09,natalie,3,FLAIR_Infarcts_RightCbell,FLAIR_Infarcts_RightCbell,FLAIR/T2_Remote infarcts_Right Cbell/brainstem,RadioButton,1,1,0,NULL,NULL,NULL
406,1,2012-08-23 21:09,natalie,3,FLAIR_Infarcts_LeftACA,FLAIR_Infarcts_LeftACA,FLAIR/T2_Remote infarcts_Left ACA,RadioButton,1,1,0,NULL,NULL,NULL
407,1,2012-08-23 21:10,natalie,3,FLAIR_Infarcts_Left MCA,FLAIR_Infarcts_LeftMCA,FLAIR/T2_Remote infarcts_Left MCA,RadioButton,1,1,0,NULL,NULL,NULL
408,1,2012-08-23 21:10,natalie,3,FLAIR_Infarcts_LeftPCA,FLAIR_Infarcts_LeftPCA,FLAIR/T2_Remote infarcts_Left PCA,RadioButton,1,1,0,NULL,NULL,NULL
409,1,2012-08-23 21:11,natalie,3,FLAIR_Infarcts_Left Cbell,FLAIR_Infarcts_LeftCbell,FLAIR/T2_Remote infarcts_Left Cbell/Brainstem,RadioButton,1,1,0,NULL,NULL,NULL
410,1,2012-08-23 21:12,natalie,3,AgeRel_WhiteMat_0,AgeRel_WhiteMat_0,Age-related white matter changes rating- no lesions,RadioButton,1,1,0,NULL,NULL,NULL
411,1,2012-08-23 21:12,natalie,3,AgeRel_WhiteMat_1,AgeRel_WhiteMat_1,Age-related white matter changes rating- focal lesions,RadioButton,1,1,0,NULL,NULL,NULL
412,1,2012-08-23 21:13,natalie,3,AgeRel_WhiteMat_2,AgeRel_WhiteMat_2,Age-related white matter changes rating- beginning of confluence of lesions,RadioButton,1,1,0,NULL,NULL,NULL
413,1,2012-08-23 21:13,natalie,3,AgeRel_WhiteMat_3,AgeRel_WhiteMat_3,"Age-related white matter changes rating- diffuse, confluent lesions",RadioButton,1,1,0,NULL,NULL,NULL
414,1,2012-08-23 21:13,natalie,3,GRE_Unable,GRE_Unable,GRE Sequence_Unable poor quality,RadioButton,1,1,0,NULL,NULL,NULL
415,1,2012-08-23 21:14,natalie,3,GRE_Microhem_Yes,GRE_Microhem_Yes,GRE_Microhemorrhages_Yes,RadioButton,1,1,0,NULL,NULL,NULL
416,1,2012-08-23 21:14,natalie,3,GRE_Microhem_No,GRE_Microhem_No,GRE_Microhemorrhages_No,RadioButton,1,1,0,NULL,NULL,NULL
417,1,2012-08-23 21:15,natalie,3,GRE_NumbHem,GRE_NumbHem,GRE_Number of Microhemorrhages,PositiveIntegerField,1,1,0,NULL,NULL,NULL
418,1,2012-08-23 21:15,natalie,3,GRE_Comments,GRE_Comments,GRE_Comments,TextField,1,1,0,NULL,NULL,NULL
419,1,2012-08-23 21:45,natalie,3,QVSFS_90day,QVSFS_90day,QVSFS_90 day,RadioButton,1,1,0,NULL,NULL,NULL
420,1,2012-08-23 21:50,natalie,3,QVSFS_1year,QVSFS_1year,QVSFS_1 year,RadioButton,1,1,0,NULL,NULL,NULL
421,1,2012-08-23 21:51,natalie,3,QVSFS_TIA_yes,QVSFS_TIA_yes,QVSFS_have you had a TIA_yes,RadioButton,1,1,0,NULL,NULL,NULL
422,1,2012-08-23 21:53,natalie,3,QVSFS_TIA_symptoms<24h,QVSFS_TIA_symptomsLT24h,QVSFS_have you had a TIA_symptoms <24h,RadioButton,1,1,0,NULL,NULL,NULL
423,1,2012-08-23 21:53,natalie,3,QVSFS_TIA_symptoms>24h,QVSFS_TIA_symptomsGT24h,QVSFS_have you had a TIA_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
424,1,2012-08-23 21:54,natalie,3,TIA_date,TIA_date,TIA_date,DateField,1,1,0,NULL,NULL,NULL
425,1,2012-08-23 21:54,natalie,3,QVSFS_TIA_no,QVSFS_TIA_no,QVSFS_have you had a TIA_no,RadioButton,1,1,0,NULL,NULL,NULL
426,1,2012-08-23 21:55,natalie,3,QVSFS_stroke_yes,QVSFS_stroke_yes,QVSFS_have you had a stroke_yes,RadioButton,1,1,0,NULL,NULL,NULL
427,1,2012-08-23 22:08,natalie,3,QVSFS_stroke_date,QVSFS_stroke_date,QVSFS_stroke_date,DateField,1,1,0,NULL,NULL,NULL
428,1,2012-08-23 22:08,natalie,3,QVSFS_stroke_no,QVSFS_stroke_no,QVSFS_stroke_no,RadioButton,1,1,0,NULL,NULL,NULL
429,1,2012-08-23 22:12,natalie,3,QVSFS_weakness_yes,QVSFS_weakness_yes,QVSFS_have you had sudden painless weakness on one side of your body_yes,RadioButton,1,1,0,NULL,NULL,NULL
430,1,2012-08-23 22:16,natalie,3,QVSFS_weakness_symptoms<24h,QVSFS_weakness_symptomsLT24h,QVSFS_have you had sudden painless weakness on one side of your body_symptoms<24h,RadioButton,1,1,0,NULL,NULL,NULL
431,1,2012-08-23 22:17,natalie,3,QVSFS_weakness_symptoms>24h,QVSFS_weakness_symptomsGT24h,QVSFS_have you had sudden painless weakness on one side of your body_symptoms_>24h,RadioButton,1,1,0,NULL,NULL,NULL
432,1,2012-08-23 22:31,natalie,3,QVSFS_numbness_yes,QVSFS_numbness_yes,QVSFS_have you  had sudden numbness or a dead feeling on one side of your body_yes,RadioButton,1,1,0,NULL,NULL,NULL
433,1,2012-08-23 22:31,natalie,3,QVSFS_numbness_symptoms<24h,QVSFS_numbness_symptomsLT24h,QVSFS_have you had a sudden numbness or a dead feeling on one side of your body_symptoms <24h,RadioButton,1,1,0,NULL,NULL,NULL
434,1,2012-08-23 22:33,natalie,3,QVSFS_numbness_symptoms>24h,QVSFS_numbness_symptomsGT24h,QVSFS_have you had a sudden numbness or a dead feeling on one side of your body_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
435,1,2012-08-23 22:34,natalie,3,QVSFS_vision_yes,QVSFS_vision_yes,QVSFS_have you had a sudden painless loss of vision in one or both eyes_yes,RadioButton,1,1,0,NULL,NULL,NULL
436,1,2012-08-23 22:36,natalie,3,QVSFS_vision_symptoms<24h,QVSFS_vision_symptomsLT24h,QVSFS_have you had a sudden painless loss of vision in one or both eyes_symptoms <24h,RadioButton,1,1,0,NULL,NULL,NULL
437,1,2012-08-23 22:37,natalie,3,QVSFS_vision_symptoms>24h,QVSFS_vision_symptomsGT24h,QVSFS_have you had a sudden painless loss of vision in one or both eyes_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
438,1,2012-08-23 22:37,natalie,3,QVSFS_vision_date,QVSFS_vision_date,QVSFS_loss of vision_date,DateField,1,1,0,NULL,NULL,NULL
439,1,2012-08-23 22:38,natalie,3,QVSFS_vision_no,QVSFS_vision_no,QVSFS_have you had a sudden painless loss of vision in one or both eyes_no,RadioButton,1,1,0,NULL,NULL,NULL
440,1,2012-08-24 15:45,natalie,3,QVSFS_half vision_yes,QVSFS_halfvision_yes,QVSFS_have you suddenly lost one half of your vision_yes,RadioButton,1,1,0,NULL,NULL,NULL
441,1,2012-08-24 15:47,natalie,3,QVSFS_half vision_symptoms<24h,QVSFS_halfvision_symptomsLT24h,QVSFS_have you suddenly lost one half of your vision_symptoms <24 h,RadioButton,1,1,0,NULL,NULL,NULL
442,1,2012-08-24 15:48,natalie,3,QVSFS_half vision_symptoms >24h,QVSFS_halfvision_symptomsGT24h,QVSFS_have you suddenly lost one half of your vision_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
443,1,2012-08-24 15:52,natalie,3,QVSFS_half vision_no,QVSFS_halfvision_no,QVSFS_have you suddenly lost one half of your vision_no,RadioButton,1,1,0,NULL,NULL,NULL
444,1,2012-08-24 15:54,natalie,3,QVSFS_half vision_date,QVSFS_halfvision_date,QVSFS_have you suddenly lost one half of your vision_date,DateField,1,1,0,NULL,NULL,NULL
445,1,2012-08-24 15:55,natalie,3,QVSFS_understand_yes,QVSFS_understand_yes,QVSFS_have you suddenly lost the ability to understand what people are saying_yes,RadioButton,1,1,0,NULL,NULL,NULL
446,1,2012-08-24 15:55,natalie,3,QVSFS_understand_symptoms<24h,QVSFS_understand_symptomsLT24h,QVSFS_have you suddenly lost the ability to understand what people are saying_symptoms <24h,RadioButton,1,1,0,NULL,NULL,NULL
447,1,2012-08-24 15:56,natalie,3,QVSFS_understand_symptoms>24h,QVSFS_understand_symptomsGT24h,QVSFS_have you suddenly lost the ability to understand what people are saying_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
448,1,2012-08-24 15:57,natalie,3,QVSFS_understand_no,QVSFS_understand_no,QVSFS_have you suddenly lost the ability to understand what people are saying_no,RadioButton,1,1,0,NULL,NULL,NULL
449,1,2012-08-24 15:58,natalie,3,QVSFS_understand_date,QVSFS_understand_date,QVSFS_have you suddenly lost the ability to understand what people are saying_date,DateField,1,1,0,NULL,NULL,NULL
450,1,2012-08-24 15:58,natalie,3,QVSFS_express_yes,QVSFS_express_yes,QVSFS_have you suddenly lost the ability to express yourself verbally/writing_yes,RadioButton,1,1,0,NULL,NULL,NULL
451,1,2012-08-24 15:59,natalie,3,QVSFS_express_symptoms<24h,QVSFS_express_symptomsLT24h,QVSFS_have you suddenly lost the ability to express yourself verbally/writing_symptoms <24h,RadioButton,1,1,0,NULL,NULL,NULL
452,1,2012-08-24 15:59,natalie,3,QVSFS_express_symptoms>24h,QVSFS_express_symptomsGT24h,QVSFS_have you suddenly lost the ability to express yourself verbally/writing_symptoms >24h,RadioButton,1,1,0,NULL,NULL,NULL
453,1,2012-08-24 16:00,natalie,3,QVSFS_express_no,QVSFS_express_no,QVSFS_have you suddenly lost the ability to express yourself verbally/writing_no,RadioButton,1,1,0,NULL,NULL,NULL
454,1,2012-08-24 16:00,natalie,3,QVSFS_express_date,QVSFS_express_date,QVSFS_have you suddenly lost the ability to express yourself verbally/writing_date,DateField,1,1,0,NULL,NULL,NULL
455,1,2012-08-24 16:07,natalie,3,InitTIA_heartatt_yes,InitTIA_heartatt_yes,Since your initial stroke/TIA have you had a heart attack_yes,RadioButton,1,1,0,NULL,NULL,NULL
456,1,2012-08-24 16:08,natalie,3,InitTIA_heartatt_date,InitTIA_heartatt_date,Since your initial stroke/TIA have you had a heart attack_date,DateField,1,1,0,NULL,NULL,NULL
457,1,2012-08-24 16:09,natalie,3,InitTIA_heartatt_no,InitTIA_heartatt_no,Since your initial stroke/TIA have you had a heart attack_no,RadioButton,1,1,0,NULL,NULL,NULL
458,1,2012-08-24 16:10,natalie,3,InitTIA_heartprob_yes,InitTIA_heartprob_yes,Since your initial stroke/TIA have you been hospitalized for any heart problems_yes,RadioButton,1,1,0,NULL,NULL,NULL
459,1,2012-08-24 16:13,natalie,3,InitTIA_heartprobs_date,InitTIA_heartprob_date,Since your initial stroke/TIA have you been hospitalized for any heart problems_date,DateField,1,1,0,NULL,NULL,NULL
460,1,2012-08-24 16:16,natalie,3,InitTIA_heartprobs_no,InitTIA_heartprobs_no,Since your initial stroke/TIA have you been hospitalized for any heart problems_no,RadioButton,1,1,0,NULL,NULL,NULL
461,1,2012-08-24 16:43,natalie,3,InitTIA_medprobs_yes,InitTIA_medprobs_yes,Since your initial stroke/TIA have you been diagnosed with any new medical problems_yes,RadioButton,1,1,0,NULL,NULL,NULL
462,1,2012-08-24 16:44,natalie,3,InitTIA_medprobs_date,InitTIA_medprobs_date,Since your initial stroke/TIA have you been diagnosed with any new medical problems_date,DateField,1,1,0,NULL,NULL,NULL
463,1,2012-08-24 16:44,natalie,3,InitTIA_medprobs_no,InitTIA_medprobs_no,Since your initial stroke/TIA have you been diagnosed with any new medical problems_no,RadioButton,1,1,0,NULL,NULL,NULL
464,1,2012-08-24 16:45,natalie,3,InitTIA_medprobs_yes_spec,InitTIA_medprob_yes_spec,"Since your initial stroke/TIA have you been diagnosed with any new medical problems_yes, please specify",CharField,1,1,0,NULL,NULL,30
465,1,2012-08-24 16:47,natalie,3,InitTIA_emerg_yes,InitTIA_emerg_yes,Since your initial stroke/TIA have you gone back to the emergency department for care_yes,RadioButton,1,1,0,NULL,NULL,NULL
466,1,2012-08-24 16:48,natalie,3,InitTIA_emerg_no,InitTIA_emerg_no,Since your initial stroke/TIA have you gone back to the emergency department for care_no,RadioButton,1,1,0,NULL,NULL,NULL
467,1,2012-08-24 16:48,natalie,3,InitTIA_emerg_date,InitTIA_emerg_date,Since your initial stroke/TIA have you gone back to the emergency department for care_date,DateField,1,1,0,NULL,NULL,NULL
468,1,2012-08-24 16:49,natalie,3,InitTIA_emerg_yes_spec,InitTIA_emerg_yes_spec,"Since your initial stroke/TIA have you gone back to the emergency department for care_yes, please specify",CharField,1,1,0,NULL,NULL,30
469,1,2012-08-24 18:46,natalie,3,Inter_CarotEndarterectomy_yes,Inter_CarEnd_yes,Interventions_Carotid endarterectomy_yes,RadioButton,1,1,0,NULL,NULL,NULL
470,1,2012-08-24 18:47,natalie,3,Inter_CarotEndarterectomy_date,Inter_CarEnd_date,Interventions_Carotid endarterectomy_date,DateField,1,1,0,NULL,NULL,NULL
471,1,2012-08-24 18:48,natalie,3,Inter_CarotEndarterectomy_no,Inter_CarEnd_no,Interventions_Carotid endarterectomy_no,RadioButton,1,1,0,NULL,NULL,NULL
472,1,2012-08-24 19:04,paulina,1,AEDs-Carbamezapine (Tegretoll)-Total Current Daily Dose,AEDs_Carbamezapine_Tegretol_Dose,What was the total current daily dose of Carbamezapine (Tegretol),BigIntegerField,0,0,0,NULL,NULL,NULL
473,1,2012-08-24 19:07,paulina,1,AEDs-Carbamezapine (Tegretol)-Side Effects,AEDs_Carbamezapine_Tegretol_Side_Effects,Were there side effects of taking AED Carbamezapine (Tegretol),RadioButton,0,0,0,NULL,NULL,NULL
474,1,2012-08-24 19:07,natalie,3,Inter_CarotStent_yes,Inter_CarStent_yes,Interventions_Carotid Stenting_yes,RadioButton,1,1,0,NULL,NULL,NULL
475,1,2012-08-24 19:07,natalie,3,Inter_CarotStent_date,Inter_CarStent_date,Interventions_Carotid Stenting_date,DateField,1,1,0,NULL,NULL,NULL
476,1,2012-08-24 19:08,natalie,3,Inter_CarotStent_no,Inter_CarStent_no,Interventions_Carotid Stenting_no,RadioButton,1,1,0,NULL,NULL,NULL
477,1,2012-08-24 19:08,paulina,1,AED-Clobazam (Frisium),AED_Clobazam_Frisium,Was Clobazam (Frisium) an AED used by patient,RadioButton,0,0,0,NULL,NULL,NULL
478,1,2012-08-24 19:09,natalie,3,Inter_ForClose_yes,Inter_ForClose_yes,Interventions_Foramen Ovale Closure_yes,RadioButton,1,1,0,NULL,NULL,NULL
479,1,2012-08-24 19:09,natalie,3,Inter_ForClose_date,Inter_ForClose_date,Interventions_Foramen Ovale Closure_date,DateField,1,1,0,NULL,NULL,NULL
480,1,2012-08-24 19:10,natalie,3,Inter_ForClose_no,Inter_ForClose_no,Interventions_Foramen Ovale Closure_no,RadioButton,1,1,0,NULL,NULL,NULL
481,1,2012-08-24 19:10,paulina,1,AED-Clobazam (Frisium) Total Current Daily Dose,AED_Clobazam_Frisium_Dose,What was the total current daily dose of Clobazam (Frisium),BigIntegerField,0,0,0,NULL,NULL,NULL
482,1,2012-08-24 19:13,paulina,1,AED-Clozabam (Frisium) Side Effects,AED_Clozabam_Frisium__Side_Effects,Were there side effects of taking AED Clozabam (Frisium),RadioButton,0,0,0,NULL,NULL,NULL
483,1,2012-08-24 19:15,paulina,1,AED-Clonazepam (Klonopin),AED_Clonazepam_Klonopin,Was Clonazepam (Klonopin) an AED used by patient,RadioButton,0,0,0,NULL,NULL,NULL
484,1,2012-08-24 19:45,paulina,1,AED-Clonezepam (Klonopin) Total Current Daily Dose,AED_Clonazepam_Klonopin_Dose,What was the total current daily dose of AED Clonazepam (Klonopin),BigIntegerField,0,0,0,NULL,NULL,NULL
485,1,2012-08-24 19:49,paulina,1,AED-Clonezepam (Klonopin) Total Current Daily Dose,AED_Clonazepam_Klonopin_Side_Effects,Were there side effects of taking AED Clonazepam (Klonopin),RadioButton,0,0,0,NULL,NULL,NULL
